"Based on the VAT ID, the customer would belong to Customer Group %s.","Based on the VAT ID, the customer would belong to Customer Group %s."
"Bill to Name","Bill to Name"
"Bought From","Bought From"
"By creating an account with our store, you will be able to move through the checkout process faster, store multiple shipping addresses, view and track your orders in your account and more.","Hãy tạo cho mình một tài khoản, bạn sẽ nhận được các ưu đãi bất ngờ mà chỉ thành viên mới có."
"CSV","CSV"
"Cancel","Hủy"
"Cannot save a new password.","Mật khẩu chưa được lưu."
"Cannot save address.","Địa chỉ chưa được lưu."
"Cannot save the customer.","Khách hàng chưa được lưu."
"Cannot share customer accounts globally because some customer accounts with the same emails exist on multiple websites and cannot be merged.","Cannot share customer accounts globally because some customer accounts with the same emails exist on multiple websites and cannot be merged."
"Change Account Password","Thay đổi mật khẩu"
"Change Billing Address","Đổi địa chỉ thanh toán"
"Change Password","Đổi mật khẩu"
"Change Shipping Address","Đổi địa chỉ nhận hàng"
"City","Quận/Huyện"
"Company","Đơn vị công tác"
"Config","Config"
"Configure","Configure"
"Confirm New Password","Nhập lại mật khẩu mới"
"Confirm Password","Nhập lại mật khẩu"
"Confirmation Link Email","Xác nhận địa chỉ email"
"Confirmed","Xác nhận"
"Contact Information","Thông tin liên hệ"
"Continue Shopping","Tiếp tục mua hàng"
"Country","Quốc gia"
"Create","Tạo mới"
"Create New Account Options","Đăng ký tài khoản"
"Create New Customer Account","Đăng ký tài khoản"
"Create Order","Tạo đơn hàng"
"Create an Account","Tạo tài khoản"
"Create customer","Tạo khách hàng"
"Create customer address","Tạo địa chỉ"
"Current Password","Mật khẩu cũ"
"Customer","Khách hàng"
"Customer API","Customer API"
"Customer Account Edit Form","Form tạo tài khoản khách hàng"
"Customer Account Login Form","Form đăng nhập tài khoản khách hàng"
"Customer Account Logout Success","Đăng xuất thành công"
"Customer Account Registration Form","Bảng mẫu đăng kí tài khoản khách hàng"
"Customer Addresses","Địa chỉ khách hàng"
"Customer Configuration","Customer Configuration"
"Customer Forgot Password Form","Bảng mẫu khách hàng quên mật khẩu"
"Customer Group","Nhóm khách hàng"
"Customer Groups","Nhóm khách hàng"
"Customer Information","Thông tin khách hàng"
"Customer Login","Đăng nhập"
"Customer My Account (All Pages)","Customer My Account (All Pages)"
"Customer My Account Address Book","Customer My Account Address Book"
"Customer My Account Address Edit Form","Customer My Account Address Edit Form"
"Customer My Account Dashboard","Trang chính"
"Customer Since","Customer Since"
"Customer View","Xem khách hàng"
"Customer collection expected.","Customer collection expected."
"Customer email is required","Customer email is required"
"Customer website ID must be specified when using the website scope","Customer website ID must be specified when using the website scope"
"Customer will stay on the current page if ""No"" is selected."Khách hàng sẽ ở lịa trang hiện tại nếu lựa chọn No."
"Customers","Khách hàng"
"Customers Only","Chỉ khách hàng"
"Customers Section","Customers Section"
"DD","DD"
"Date","Ngày"
"Date Added","Date Added"
"Date of Birth","Ngày sinh"
"Day","Ngày"
"Days in Wishlist","Ngày thêm vào sản phẩm yêu thích"
"Default Addresses","Địa chỉ mặc định"
"Default Billing Address","Địa chỉ thanh toán mặc định"
"Default Email Domain","Email mặc định"
"Default Group","Nhóm mặc định"
"Default Shipping Address","Địa chỉ nhận hàng mặc định"
"Default Welcome Email","Email chào mừng mặc định"
"Delete","Xóa"
"Delete Address","Xóa địa chỉ"
"Delete Customer","Xóa khách hàng"
"Delete Customer Group","Xóa nhóm khách hàng"
"Delete customer","Xóa khách hàng"
"Delete customer address","Xóa địa chỉ"
"Deleted Stores","Xóa gian hàng"
"Details","Chi tiết"
"Disable Automatic Group Changes Based on VAT ID Default Value","Disable Automatic Group Changes Based on VAT ID Default Value"
"Disabled","Vô hiệu"
"Edit","Sửa"
"Edit Account Info","Sửa tài khoản"
"Edit Account Information","Sửa thông tin tài khoản"
"Edit Address","Sửa địa chỉ"
"Edit Address Entry","Edit Address Entry"
"Edit Customer Group ""%s""","Sửa nhóm khách hàng ""%s"""
"Edit Customer Groups","Sửa nhóm khách hàng"
"Edit Customer's Address","Chỉnh sửa địa chỉ khách hàng"
"Edit Group","Sửa nhóm"
"Edit Newsletters","Sửa tùy chọn nhận bản tin"
"Email","Email"
"Email Address","Địa chỉ email"
"Email Sender","Email người gửi"
"Email:","Email:"
"Enable Automatic Assignment to Customer Group","Enable Automatic Assignment to Customer Group"
"Entity collection is expected.","Entity collection is expected."
"Excel XML","Excel XML"
"Failed to confirm customer account.","Failed to confirm customer account."
"Fax","Fax"
"First Name","Tên"
"Forgot Email Template","Forgot Email Template"
"Forgot Password","Tìm lại mật khẩu"
"Forgot Your Password","Tìm lại mật khẩu"
"Forgot Your Password?","Bạn muốn tìm lại mật khẩu?"
"Forgot and Remind Email Sender","Forgot and Remind Email Sender"
"Form Fields Before","Form Fields Before"
"From your My Account Dashboard you have the ability to view a snapshot of your recent account activity and update your account information. Select a link below to view or edit information.","Với trang này, bạn sẽ quản lý được tất cả thông tin tài khoản của mình."
"Gender","Giới tính"
"Gender is required.","Gender is required."
"General Subscription","Gói căn bản"
"Generate Human-Friendly Customer ID","Generate Human-Friendly Customer ID"
"Global","Toàn cục"
"Grand Total","Tổng cộng"
"Group","Nhóm"
"Group Information","Thông tin nhóm"
"Group Name","Tên nhóm"
"Group for Invalid VAT ID","Group for Invalid VAT ID"
"Group for Valid VAT ID - Domestic","Group for Valid VAT ID - Domestic"
"Group for Valid VAT ID - Intra-Union","Group for Valid VAT ID - Intra-Union"
"Guest","Guest"
"HTML","HTML"
"Hello, %s!","Xin chào, %s!"
"ID","ID"
"IP Address","IP Address"
"If there is an account associated with %s you will receive an email with a link to reset your password.","Chúng tôi đã gửi thông tin qua email %s bạn hãy kiểm tra hộp mail này để tiến hành thay đổi lại mật khẩu."
"If you are a registered VAT customer, please click <a href=""%s"">here</a> to enter you billing address to see proper VAT calculated","If you are a registered VAT customer, please click <a href=""%s"">here</a> to enter you billing address to see proper VAT calculated"
"If you believe this is an error, please contact us at %s","If you believe this is an error, please contact us at %s"
"If you have an account with us, please log in.","Nếu bạn đã đăng ký, bạn vui lòng đăng nhập vào hệ thống ở form sau."
"Invalid attribute option specified for attribute %s (%s), skipping the record.","Invalid attribute option specified for attribute %s (%s), skipping the record."
"Invalid attribute set specified, skipping the record.","Invalid attribute set specified, skipping the record."
"Invalid billing address for (%s)","Địa chỉ thanh toán không hợp lệ (%s)"
"Invalid current password","Mật khẩu không hợp lệ"
"Invalid customer data","Invalid customer data"
"Invalid email address ""%s"".","Email không hợp lệ ""%s""."
"Invalid email address.","Email không hợp lệ."
"Invalid login or password.","Đăng nhập hoặc mật khẩu không hợp lệ."
"Invalid password reset token.","Cài đặt lại mật khẩu không hợp lệ."
"Invalid shipping address for (%s)","Địa chỉ giao hàng không hợp lệ (%s)"
"Invalid store specified, skipping the record.","Invalid store specified, skipping the record."
"Invalid website, skipping the record, line: %s","Invalid website, skipping the record, line: %s"
"Last Activity","Hoạt động cuối"
"Last Date Subscribed","Last Date Subscribed"
"Last Date Unsubscribed","Last Date Unsubscribed"
"Last Name","Họ"
"Last URL","Last URL"
"Leave empty for default (15 minutes).","Leave empty for default (15 minutes)."
"Leave empty for default (2). Valid range: 1-4","Leave empty for default (2). Valid range: 1-4"
"Lifetime Sales","Lifetime Sales"
"Log In","Đăng nhập"
"Log Out","Thoát"
"Login","Đăng nhập"
"Login Information","Thông tin đăng nhập"
"Login Options","Login Options"
"Login and password are required.","Bắt buộc đăng nhập và mật khẩu."
"Login or Create an Account","Đăng nhập hoặc tạo tài khoản mới"
"MM","MM"
"Manage Addresses","Quản lý địa chỉ"
"Manage Customers","Quản lý khách hàng"
"Maximum length must be less then %s symbols","Maximum length must be less then %s symbols"
"Missing email, skipping the record, line: %s","Missing email, skipping the record, line: %s"
"Missing email, skipping the record.","Missing email, skipping the record."
"Missing first name, skipping the record, line: %s","Bỏ qua trường này, chuyển đến: %s"
"Missing firstname, skipping the record.","Bỏ qua trường này."
"Missing last name, skipping the record, line: %s","Bỏ qua trường này, chuyển đến: %s"
"Missing lastname, skipping the record.","Bỏ qua trường này."
"Missing website, skipping the record, line: %s","Missing website, skipping the record, line: %s"
"Month","Tháng"
"My Account","Tài khoản"
"My Account Wrapper","My Account Wrapper"
"My Dashboard","Trang chính"
"My Orders","Đơn hàng của tôi"
"Name","Tên"
"Name and Address Options","Name and Address Options"
"Never","Never"
"New Address","Địa chỉ mới"
"New Address Entry","New Address Entry"
"New Customer","Khách hàng mới"
"New Customer Address","Địa chỉ mới"
"New Customer Group","Nhóm mới"
"New Customer Groups","Nhóm mới"
"New Customers","Khách hàng mới"
"New Group","Nhóm mới"
"New Password","Mật khẩu mới"
"New account","Tài khoản mới"
"New account confirmation key","Mã xác nhận mới"
"New account confirmed","Xác nhận tài khoản mới"
"New password field cannot be empty.","Bắt buộc phải nhập mật khẩu mới."
"Newsletter","Newsletter"
"Newsletter Finish","Newsletter Finish"
"Newsletter Information","Newsletter Information"
"Newsletter Received","Newsletter Received"
"Newsletter Start","Newsletter Start"
"Newsletter Subscription","Nhận bản tin"
"Newsletters","Đăng ký nhận bản tin"
"No Items Found","Không tìm thấy sản phẩm"
"No Newsletter Found","No Newsletter Found"
"No customer collections found","No customer collections found"
"No item specified.","No item specified."
"Not Sent","Chưa gửi"
"Not confirmed, can login","Không xác nhận, có thể đăng nhập"
"Not confirmed, cannot login","Không xác nhận, không thể đăng nhập"
"Number of Lines in a Street Address ","Number of Lines in a Street Address "
"Offline","Offline"
"Online","Online"
"Reorder", "Đặt hàng lại"
"View All", "Xem tất cả"
"Online Customers","Khách hàng online"
"Online Customers Options","Online Customers Options"
"Online Minutes Interval","Online Minutes Interval"
"Order #","Số hóa đơn"
"Order Total","Tổng cộng"
"Orders","Đơn đặt hàng"
"PDF","PDF"
"Password","Mật khẩu"
"Password Management","Quản lý mật khẩu"
"Password Options","Cấu hình cho mật khẩu"
"Password forgotten","Tim lại mật khẩu"
"Password:","Mật khẩu:"
"Paused","Tạm dừng"
"Pending","Chờ xử lý"
"Per Website","Per Website"
"Personal Information","Thông tin cá nhân"
"Please enter a valid date between %s and %s at %s.","Vui lòn chọn ngày hợp lệ từ %s đến %s tại  %s."
"Please enter a valid date equal to or greater than %s at %s.","Vui lòng chọn ngày hợp lệ bằng hoặc sau %s tại %s."
"Please enter a valid date less than or equal to %s at %s.","Vui lòng chọn ngày hợp lệ bằng hoặc trước %s tại %s."
"Please enter the city.","Vui lòng nhập thành phố."
"Please enter the country.","Please enter the country."
"Please enter the first name.","Vui lòng nhập họ."
"Please enter the last name.","Vui lòng nhập họ."
"Please enter the state/province.","Please enter the state/province."
"Please enter the street.","Please enter the street."
"Please enter the telephone number.","Please enter the telephone number."
"Please enter the zip/postal code.","Please enter the zip/postal code."
"Please enter your email address below. You will receive a link to reset your password.","Bạn nhập lại email đã đăng ký, hệ thống của chúng tôi sẽ tự động tạo mật khẩu và gửi qua email cho bạn."
"Please enter your email below and we\'ll send you confirmation link for it.","Vui lòng nhập email và chúng tôi sẽ gửi link xác nhận cho bạn."
"Please enter your email.","Vui lòng nhập địa chỉ email."
"Please make sure your passwords match.","Đảm bảo rằng mật khẩu bạn đã nhập đúng."
"Please select","Vui lòng chọn"
"Please select a website which contains store view","Please select a website which contains store view"
"Please select region, state or province","Please select region, state or province"
"Please, check your email for confirmation key.","Vui lòng kiểm tra mã xác nhận trong email"
"Prefix Dropdown Options","Prefix Dropdown Options"
"Price","Giá"
"Product","Sản phẩm"
"Product ID","ID sản phẩm"
"Product Name","Tên sản phẩm"
"Product Reviews","Product Reviews"
"Product Tags","Product Tags"
"Purchase On","Purchase On"
"Purchased At","Purchased At"
"Qty","Qty"
"Recent Orders","Đơn hàng mới đặt"
"Ship To", "Chuyển tới"
"Records for %s store found.","Records for %s store found."
"Recovery Link Expiration Period (days)","Recovery Link Expiration Period (days)"
"Redirect Customer to Account Dashboard after Logging in","Redirect Customer to Account Dashboard after Logging in"
"Refunded","Refunded"
"Registered Customers","Bạn đã có tài khoản"
"Remind Email Template","Remind Email Template"
"Remind Password","Ghi nhớ lại mật khẩu"
"Remove","Xóa"
"Require Emails Confirmation","Yêu cầu xác nhận email"
"Reset a Password","Đặt lại mật khẩu"
"Retrieve address data","Retrieve address data"
"Retrieve address info","Retrieve address info"
"Retrieve customer addresses","Retrieve customer addresses"
"Retrieve customer data","Retrieve customer data"
"Retrieve customer groups","Retrieve customer groups"
"Retrieve customer info","Lấy lại thông tin khách hàng"
"Retrieve customers","Retrieve customers"
"Retrieve your confirmation link here","Lấy liên kết xác nhận của bạn ở đây"
"Retrieve your password here","Nhập thông tin để lấy lại mật khẩu"
"SKU","Mã sản phẩm"
"Sales Statistics","Sales Statistics"
"Save","Lưu lại"
"Save Address","Lưu lại"
"Save Customer","Lưu lại"
"Save Customer Group","Lưu lại"
"Save Password","Lưu lại"
"Save and Continue Edit","Lưu lại và sửa tiếp"
"Saved %d record(s)","Saved %d record(s)"
"Semicolon (;) separated values.<br/>Put semicolon in the beginning for empty first option.<br/>Leave empty for open text field.","Semicolon (;) separated values.<br/>Put semicolon in the beginning for empty first option.<br/>Leave empty for open text field."
"Send From","Send From"
"Send Welcome Email","Send Welcome Email"
"Send Welcome Email after Confirmation","Send Welcome Email after Confirmation"
"Send auto-generated password","Send auto-generated password"
"Send confirmation link","Send confirmation link"
"Sending","Sending"
"Sent","Sent"
"Session Start Time","Session Start Time"
"Set as Default Billing Address","Set as Default Billing Address"
"Set as Default Shipping Address","Set as Default Shipping Address"
"Share Customer Accounts","Share Customer Accounts"
"Shipped to First Name","Shipped to First Name"
"Shipped to Last Name","Shipped to Last Name"
"Shipped to Name","Shipped to Name"
"Shopping Cart","Shopping Cart"
"Shopping Cart - %d item(s)","Shopping Cart - %d item(s)"
"Shopping Cart of %1$s - %2$d item(s)","Shopping Cart of %1$s - %2$d item(s)"
"Show Date of Birth","Ngày sinh"
"Show Gender","Hiển thị giới tính"
"Show Middle Name (initial)","Show Middle Name (initial)"
"Show Prefix","Show Prefix"
"Show Suffix","Show Suffix"
"Show Tax/VAT Number","Hiển thị mã số thuế"
"Sign Up for Newsletter","Tôi muốn nhận thông báo qua email"
"Skipping import row, required field ""%s"" is not defined.","Skipping import row, required field ""%s"" is not defined."
"Skipping import row, website ""%s"" field does not exist.","Skipping import row, website ""%s"" field does not exist."
"State/Province","Tỉnh/Tp"
"Status","Trạng thái"
"Store","Store"
"Store View","Store View"
"Street Address","Địa chỉ"
"Street Address ","Địa chỉ "
"Street Address %s","Địa chỉ %s"
"Subject","Tiêu đề"
"Submit","Gửi đi"
"Subscribe to Newsletter","Theo dõi để nhận thông báo"
"Subscribed to Newsletter?","Theo dõi thông báo?"
"Suffix Dropdown Options","Suffix Dropdown Options"
"Tag Name","Tag Name"
"Tax Class","Tax Class"
"Tax/VAT number","Tax/VAT number"
"Telephone","Điện thoại"
"Text","Text"
"Text One Line","Text One Line"
"Thank you for registering with %s.","Cảm ơn bạn đã đăng ký tài khoản thành công tại %s."
"The Date of Birth is required.","The Date of Birth is required."
"The TAX/VAT number is required.","The TAX/VAT number is required."
"The VAT ID entered (%s) is not a valid VAT ID.","The VAT ID entered (%s) is not a valid VAT ID."
"The VAT ID entered (%s) is not valid VAT ID.","The VAT ID entered (%s) is not valid VAT ID."
"The VAT ID is valid. The current Customer Group will be used.","The VAT ID is valid. The current Customer Group will be used."
"The account information has been saved.","Thông tin tài khoản đã được lưu."
"The address does not belong to this customer.","Địa chỉ không phải của khách hàng này."
"The address has been deleted.","Địa chỉ đã xóa."
"The address has been saved.","Địa chỉ đã được lưu."
"The customer ID and email did not match, skipping the record, line: %s","The customer ID and email did not match, skipping the record, line: %s"
"The customer does not have default billing address.","Khách hàng không có địa chỉ thanh toán mặc định."
"The customer email (%s) already exists, skipping the record, line: %s","The customer email (%s) already exists, skipping the record, line: %s"
"The customer group has been deleted.","The customer group has been deleted."
"The customer group has been saved.","The customer group has been saved."
"The customer is currently assigned to Customer Group %s.","The customer is currently assigned to Customer Group %s."
"The first name cannot be empty.","The first name cannot be empty."
"The group ""%s"" cannot be deleted","The group ""%s"" cannot be deleted"
"The last name cannot be empty.","The last name cannot be empty."
"The minimum password length is %s","The minimum password length is %s"
"The password cannot be empty.","The password cannot be empty."
"The password must have at least 6 characters. Leading or trailing spaces will be ignored.","The password must have at least 6 characters. Leading or trailing spaces will be ignored."
"The suffix that goes after name (Jr., Sr., etc.)","The suffix that goes after name (Jr., Sr., etc.)"
"The title that goes before name (Mr., Mrs., etc.)","The title that goes before name (Mr., Mrs., etc.)"
"There are no items in customer's wishlist at the moment","Không có sản phẩm yêu thích nào bây giờ"
"There are no items in customer\'s shopping cart at the moment","Không có sản phẩm nào trong giỏ hàng bây giờ"
"There is already an account with this email address. If you are sure that it is your email address, <a href=""%s"">click here</a> to get your password and access your account.","Tài khoản đã tồn tại với địa chỉ email này, <a href=""%s"">click here</a> để nhận mật khẩu và đăng nhập vào tài khoản."
"There was an error validating the VAT ID. Please try again later.","There was an error validating the VAT ID. Please try again later."
"This account is not confirmed.","This account is not confirmed."
"This account is not confirmed. <a href=""%s"">Click here</a> to resend confirmation email.","Tài khoản này chưa được xác nhận. <a href=""%s"">Click here</a> để gửi lại email xác nhận ."
"This customer email already exists","Email này đã tồn tại"
"This customer has no saved addresses.","Chưa có đại chỉ nào được lưu."
"This email does not require confirmation.","Email này không yêu cầu xác nhận."
"This email will be sent instead of default welcome email, after account confirmation.","Email này sẽ ssuwocj gửi thay thế email mặc định sau khi đã xác nhận tải khoản."
"This is My Default %s Address","Đây là địa chỉ email mạc định của tôi"
"This value must be greater than 0.","This value must be greater than 0."
"To Cart","To Cart"
"Total","Tổng"
"Type","Type"
"Unknown","Unknown"
"Unsubscribe from Newsletter","Unsubscribe from Newsletter"
"Update","Cập nhật"
"Update customer address data","Cập nhật địa chỉ khách hàng"
"Update customer data","Update customer data "
"Use as My Default %s Address","Dùng làm email mặc định"
"Use as My Default Billing Address","Dùng làm địa chỉ thanh toán mặc định"
"Use as My Default Shipping Address","Dùng làm địa chỉ giao hàng mặc định"
"Use as my default billing address","Dùng làm địa chỉ thanh toán mặc định"
"Use as my default shipping address","Dùng làm địa chỉ giao hàng mặc định"
"VAT Number","VAT Number"
"VAT Request Date","VAT Request Date"
"VAT Request Identifier","VAT Request Identifier"
"Validate VAT Number","Validate VAT Number"
"Validate on Each Transaction","Validate on Each Transaction"
"Validation Error Group","Validation Error Group"
"View","Xem"
"View Order","Xem đơn hàng"
"Visitor","Visitor"
"Visitors Only","Visitors Only"
"Website","Website"
"Welcome Email","Welcome Email"
"Wishlist","Sản phẩm yêu thích"
"Wishlist - %d item(s)","Thích - %d sản phẩm"
"Would you like to change the Customer Group for this order?","Would you like to change the Customer Group for this order?"
"Wrong confirmation key.","Mã xác nhận sai."
"Wrong customer account specified.","Wrong customer account specified."
"Wrong email.","Địa chỉ email sai."
"Wrong transactional account email type","Wrong transactional account email type"
"YYYY","YYYY"
"Year","Năm"
"You are currently not subscribed to any newsletter.","Bạn chưa đăng ký dịch vụ thông báo bản tin của chúng tôi."
"You are currently not subscribed to our newsletter.","Bạn chưa đăng ký dịch vụ thông báo bản tin của chúng tôi."
"You are currently subscribed to 'General Subscription'.","Bạn đã đăng ký gói nhận bạn tin 'Gói cơ bản'."
"You are currently subscribed to our newsletter.","Bạn đã đăng ký nhận bản tin."
"You are now logged out","Thoát khỏi hệ thống thành công"
"You have logged out and will be redirected to our homepage in 5 seconds.","Bạn đã thoát khỏi tài khoản thành công. Hệ thống sẽ chuyển về trang chủ trong 5 giây, bạn vui lòng đợi."
"You have no additional address entries in your address book.","Bạn không có địa chỉ phụ nào trong danh bạ."
"You have no additional entries in your address book.","Bạn không có địa chỉ phụ nào trong danh bạ."
"You have no default billing address in your address book.","Bạn không có địa chỉ thanh toán mặc định nào trong sổ địa chỉ."
"You have no default entries in your address book.","You have no default entries in your address book."
"You have no default shipping address in your address book.","Bạn không có địa chỉ nhận hàng nào trong sổ địa chỉ."
"You have not set a default billing address.","Bạn chưa cài đặt địa chỉ thanh toán."
"You have not set a default shipping address.","Bạn chưa cài đặt địa chỉ nhận hàng."
"You have placed no orders yet.","You have placed no orders yet."
"You have placed no products yet.","You have placed no products yet."
"You will be charged tax.","You will be charged tax."
"You will not be charged tax.","You will not be charged tax."
"Your Tax ID cannot be validated.","Your Tax ID cannot be validated."
"Your VAT ID was successfully validated.","Your VAT ID was successfully validated."
"Your account balance is: %s","Số dư tài khoản của bạn là: %s"
"Your password has been updated.","Mật khẩu của bạn đã được thay đổi."
"Your password reset link has expired.","Link tìm lại mật khẩu đã hết hạn."
"ZIP","ZIP"
"ZIP/Post Code","Mã quốc gia"
"Zip/Postal Code","Mã quốc gia"
"n/a","n/a"
"or","or"
"Last Ordered Items", "Sản phẩm mới đặt mua"
"Ordered", "Đã mua"
"Item Status", "Trạng thái sản phẩm"
"Orders and Returns", "Yêu cầu đổi / Trả hàng"
